,date,city_1,country_1,city_2,country_2,working,source,lat_x,lng_x,same,duration_days,min_date,max_date,lat_y,lng_y,returns
99,1950-01-13,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
100,1950-01-13,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
101,1950-01-13,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
102,1950-01-13,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
103,1950-01-13,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
104,1950-01-14,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
105,1950-01-14,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
106,1950-01-14,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
107,1950-01-14,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
108,1950-01-14,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
109,1950-01-14,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
110,1950-01-14,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
111,1950-01-14,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
112,1950-01-15,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
113,1950-01-15,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
114,1950-01-15,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
115,1950-01-15,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
